id_samples	Names	Names_rep	ComState	Environment	Time	Inoculant	Replicate	ng.uL
GE1_5R_1	Growing_5_Rhiz_CHA0	Growing_5_Rhiz_CHA0_1	Growing	Rhiz	5	CHA0	1	27.4
GE1_5R_2	Growing_5_Rhiz_CHA0	Growing_5_Rhiz_CHA0_2	Growing	Rhiz	5	CHA0	2	44.2
GE1_5R_3	Growing_5_Rhiz_CHA0	Growing_5_Rhiz_CHA0_3	Growing	Rhiz	5	CHA0	3	31.1
GE1_5R_4	Growing_5_Rhiz_CHA0	Growing_5_Rhiz_CHA0_4	Growing	Rhiz	5	CHA0	4	33.6
GE1_7R_1	Growing_7_Rhiz_CHA0	Growing_7_Rhiz_CHA0_1	Growing	Rhiz	7	CHA0	1	51
GE1_7R_2	Growing_7_Rhiz_CHA0	Growing_7_Rhiz_CHA0_2	Growing	Rhiz	7	CHA0	2	75.5
GE1_7R_3	Growing_7_Rhiz_CHA0	Growing_7_Rhiz_CHA0_3	Growing	Rhiz	7	CHA0	3	56
GE1_7R_4	Growing_7_Rhiz_CHA0	Growing_7_Rhiz_CHA0_4	Growing	Rhiz	7	CHA0	4	72.5
GE1_9R_1	Growing_9_Rhiz_CHA0	Growing_9_Rhiz_CHA0_1	Growing	Rhiz	9	CHA0	1	60.8
GE1_9R_2	Growing_9_Rhiz_CHA0	Growing_9_Rhiz_CHA0_2	Growing	Rhiz	9	CHA0	3	73.8
GE1_9R_3	Growing_9_Rhiz_CHA0	Growing_9_Rhiz_CHA0_3	Growing	Rhiz	9	CHA0	4	55
GE1_9R_4	Growing_9_Rhiz_CHA0	Growing_9_Rhiz_CHA0_4	Growing	Rhiz	9	CHA0	5	62.8
GE2_5R_1	Growing_5_Rhiz_noCHA0	Growing_5_Rhiz_noCHA0_1	Growing	Rhiz	5	noCHA0	1	6.83
GE2_5R_2	Growing_5_Rhiz_noCHA0	Growing_5_Rhiz_noCHA0_2	Growing	Rhiz	5	noCHA0	2	13.7
GE2_5R_3	Growing_5_Rhiz_noCHA0	Growing_5_Rhiz_noCHA0_3	Growing	Rhiz	5	noCHA0	3	4.64
GE2_5R_4	Growing_5_Rhiz_noCHA0	Growing_5_Rhiz_noCHA0_4	Growing	Rhiz	5	noCHA0	4	4.33
GE2_7R_1	Growing_7_Rhiz_noCHA0	Growing_7_Rhiz_noCHA0_1	Growing	Rhiz	7	noCHA0	1	16.4
GE2_7R_2	Growing_7_Rhiz_noCHA0	Growing_7_Rhiz_noCHA0_2	Growing	Rhiz	7	noCHA0	2	29.4
GE2_7R_3	Growing_7_Rhiz_noCHA0	Growing_7_Rhiz_noCHA0_3	Growing	Rhiz	7	noCHA0	3	34.3
GE2_7R_4	Growing_7_Rhiz_noCHA0	Growing_7_Rhiz_noCHA0_4	Growing	Rhiz	7	noCHA0	4	32.1
GE2_9R_1	Growing_9_Rhiz_noCHA0	Growing_9_Rhiz_noCHA0_1	Growing	Rhiz	9	noCHA0	1	40
GE2_9R_2	Growing_9_Rhiz_noCHA0	Growing_9_Rhiz_noCHA0_2	Growing	Rhiz	9	noCHA0	4	74.7
GE2_9R_3	Growing_9_Rhiz_noCHA0	Growing_9_Rhiz_noCHA0_3	Growing	Rhiz	9	noCHA0	5	41.2
GE2_9R_4	Growing_9_Rhiz_noCHA0	Growing_9_Rhiz_noCHA0_4	Growing	Rhiz	9	noCHA0	6	61.6
GE3_1B_1	Growing_1_Bulk_CHA0	Growing_1_Bulk_CHA0_1	Growing	Bulk	1	CHA0	1	86.7
GE3_1B_2	Growing_1_Bulk_CHA0	Growing_1_Bulk_CHA0_2	Growing	Bulk	1	CHA0	2	66.6
GE3_1B_3	Growing_1_Bulk_CHA0	Growing_1_Bulk_CHA0_3	Growing	Bulk	1	CHA0	3	86.9
GE3_1B_4	Growing_1_Bulk_CHA0	Growing_1_Bulk_CHA0_4	Growing	Bulk	1	CHA0	4	69.8
GE3_5B_1	Growing_5_Bulk_CHA0	Growing_5_Bulk_CHA0_1	Growing	Bulk	5	CHA0	1	36.1
GE3_5B_2	Growing_5_Bulk_CHA0	Growing_5_Bulk_CHA0_2	Growing	Bulk	5	CHA0	2	41.6
GE3_5B_3	Growing_5_Bulk_CHA0	Growing_5_Bulk_CHA0_3	Growing	Bulk	5	CHA0	3	19.8
GE3_5B_4	Growing_5_Bulk_CHA0	Growing_5_Bulk_CHA0_4	Growing	Bulk	5	CHA0	4	28.1
GE3_7B_1	Growing_7_Bulk_CHA0	Growing_7_Bulk_CHA0_1	Growing	Bulk	7	CHA0	1	55.5
GE3_7B_2	Growing_7_Bulk_CHA0	Growing_7_Bulk_CHA0_2	Growing	Bulk	7	CHA0	2	46.7
GE3_7B_3	Growing_7_Bulk_CHA0	Growing_7_Bulk_CHA0_3	Growing	Bulk	7	CHA0	3	53.7
GE3_7B_4	Growing_7_Bulk_CHA0	Growing_7_Bulk_CHA0_4	Growing	Bulk	7	CHA0	4	54.4
GE3_9B_1	Growing_9_Bulk_CHA0	Growing_9_Bulk_CHA0_1	Growing	Bulk	9	CHA0	1	56
GE3_9B_2	Growing_9_Bulk_CHA0	Growing_9_Bulk_CHA0_2	Growing	Bulk	9	CHA0	2	72.4
GE3_9B_3	Growing_9_Bulk_CHA0	Growing_9_Bulk_CHA0_3	Growing	Bulk	9	CHA0	3	54
GE3_9B_4	Growing_9_Bulk_CHA0	Growing_9_Bulk_CHA0_4	Growing	Bulk	9	CHA0	4	41.7
GE4_1B_1	Growing_1_Bulk_noCHA0	Growing_1_Bulk_noCHA0_1	Growing	Bulk	1	noCHA0	1	71.6
GE4_1B_2	Growing_1_Bulk_noCHA0	Growing_1_Bulk_noCHA0_2	Growing	Bulk	1	noCHA0	2	94.7
GE4_1B_3	Growing_1_Bulk_noCHA0	Growing_1_Bulk_noCHA0_3	Growing	Bulk	1	noCHA0	3	98.8
GE4_1B_4	Growing_1_Bulk_noCHA0	Growing_1_Bulk_noCHA0_4	Growing	Bulk	1	noCHA0	4	89.2
GE4_5B_1	Growing_5_Bulk_noCHA0	Growing_5_Bulk_noCHA0_1	Growing	Bulk	5	noCHA0	1	31
GE4_5B_2	Growing_5_Bulk_noCHA0	Growing_5_Bulk_noCHA0_2	Growing	Bulk	5	noCHA0	2	29.4
GE4_5B_3	Growing_5_Bulk_noCHA0	Growing_5_Bulk_noCHA0_3	Growing	Bulk	5	noCHA0	3	23.7
GE4_5B_4	Growing_5_Bulk_noCHA0	Growing_5_Bulk_noCHA0_4	Growing	Bulk	5	noCHA0	4	20.4
GE4_7B_1	Growing_7_Bulk_noCHA0	Growing_7_Bulk_noCHA0_1	Growing	Bulk	7	noCHA0	1	47.1
