id_samples	Stem.lengh.aver	shoots.fresh.weight	shoots.dry.weight	roots.fresh.weight	roots.dry.weight
GE1_5R_1	4.5	0.106	0.011	0.125	0.015
GE1_5R_2	6	0.127	0.015	0.165	0.014
GE1_5R_3	5.4	0.129	0.014	0.233	0.017
GE1_5R_4	4.9333	0.117	0.013	0.197	0.016
GE2_5R_1	3.3333	0.078	0.007	0.156	0.012
GE2_5R_2	3.8667	0.098	0.01	0.117	0.01
GE2_5R_3	2.7667	0.071	0.008	0.183	0.027
GE2_5R_4	3.0667	0.084	0.008	0.119	0.01
GE1_7R_1	7.9	0.172	0.023	0.24	0.017
GE1_7R_2	10.0333	0.224	0.028	0.351	0.03
GE1_7R_3	10.4667	0.236	0.028	0.524	0.057
GE1_7R_4	10.4333	0.222	0.025	0.306	0.036
GE2_7R_1	5.2667	0.15	0.013	0.19	0.03
GE2_7R_2	7.6333	0.161	0.02	0.431	0.052
GE2_7R_3	7.0333	0.103	0.018	0.275	0.016
GE2_7R_4	6.8667	0.142	0.016	0.244	0.048
GE1_9R_1	12.0667	0.241	0.034	0.596	0.057
GE1_9R_2	11.1333	0.198	0.029	0.573	0.071
GE1_9R_3	13.0667	0.259	0.042	0.524	0.068
GE1_9R_4	13.6	0.289	0.043	0.776	0.149
GE2_9R_1	9.8667	0.204	0.028	0.394	0.023
GE2_9R_2	13.6333	0.244	0.038	0.442	0.028
GE2_9R_3	11.3333	0.206	0.031	0.424	0.031
GE2_9R_4	11.1	0.198	0.032	0.291	0.023
SE1_5R_1	10.5	0.377	0.051	1.168	0.24
SE1_5R_2	10.2	0.345	0.053	1.661	0.611
SE1_5R_3	9.375	0.323	0.042	1.454	0.286
SE1_5R_4	10.6	0.362	0.044	1.464	0.381
SE2_5R_1	10.475	0.337	0.041	1.432	0.456
SE2_5R_2	9.95	0.332	0.042	1.335	0.459
SE2_5R_3	9.475	0.292	0.035	1.024	0.532
SE2_5R_4	9.975	0.332	0.04	1.287	0.188
SE1_7R_1	13.375	0.407	0.051	1.493	0.262
SE1_7R_2	12.425	0.359	0.043	1.073	0.119
SE1_7R_3	12.875	0.401	0.042	1.538	0.151
SE1_7R_4	12.325	0.424	0.044	1.424	0.221
SE2_7R_1	13.6	0.421	0.041	1.242	0.177
SE2_7R_2	12.65	0.389	0.042	1.146	0.223
SE2_7R_3	12.8	0.383	0.035	1.166	0.117
SE2_7R_4	12.325	0.415	0.04	1.095	0.228
SE1_9R_1	15.975	0.538	0.08	1.414	0.125
SE1_9R_2	15.5	0.527	0.083	1.504	0.204
SE1_9R_3	15.35	0.476	0.08	1.419	0.112
SE1_9R_4	16.55	0.512	0.083	1.559	0.137
SE2_9R_1	13.6	0.411	0.061	0.845	0.088
SE2_9R_2	13.575	0.453	0.067	1.16	0.112
SE2_9R_3	12.775	0.433	0.059	0.93	0.063
SE2_9R_4	12.625	0.403	0.058	1.077	0.131
